"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"181","PGM",142,7,"142_7","PA",25,25,12,1,5,0,1.621393913,4.090196093,0.003638632,77.28,5.6,0.17,4.777777778,96.33333333,52.77777778,6.133333333,0.211111111,1
"182","PGM",142,8,"142_8","PA",16,31,9,0,0,0,0,1.033371333,0,77.86,5.133333333,0.13,6.111111111,43.11111111,25.66666667,2.933333333,0.322222222,6
"183","PGM",142,9,"142_9","PA",10,30,7,0,5,0,0.343305756,2.610210956,3.954801773,70.51,5.68,0.16,4.2,66.93333333,33.13333333,4.06,0.306666667,5
"184","PGM",147,1,"147_1","LF",27,55,15,13,73,64,99.28677709,7.962112801,25.51310297,66.07,4.92,0.19,1.2,41.46666667,24.66666667,2.626666667,0.653333333,5
"185","PGM",147,11,"147_11","LF",22,55,19,11,57,54,133.8508354,13.01900159,40.16646297,66.94,4.3,0.2,2.133333333,41.73333333,31.6,2.293333333,0.773333333,4
"186","PGM",147,12,"147_12","PA",19,52,11,0,0,0,0,1.6371045,0,29.49,4.58,0.07,2.733333333,22.4,14.73333333,1.926666667,0.473333333,6
"187","PGM",147,13,"147_13","SFyoung",20,35,10,0,2,2,1.291180966,10.38420165,1.120053655,71.27,4.866666667,0.15,1.266666667,56.33333333,33.33333333,2.373333333,0.633333333,12
"188","PGM",147,2,"147_2","LBF",30,49,16,14,65,57,91.58682293,10.62582237,22.241313,82.76,5.486666667,0.21,1.6,68.2,43.6,4.68,0.42,5
"189","PGM",147,3,"147_3","LBF",29,56,9,11,80,56,92.79769929,9.881861285,23.07462569,66.61,4.866666667,0.19,1.266666667,48.4,35.46666667,2.306666667,0.58,2
"190","PGM",147,4,"147_4","SFyoung",32,50,12,15,31,34,58.38936055,7.942864868,2.960952302,90.19,4.48,0.22,3.333333333,48.06666667,40.46666667,2.78,0.926666667,7
"191","PGM",147,5,"147_5","LF",31,62,12,12,57,69,112.5821201,11.46897237,28.33026808,110,4.055555556,0.25,5.444444444,54.11111111,52.88888889,1.311111111,2.377777778,5
"192","PGM",147,7,"147_7","LF",27,60,13,19,84,64,123.28103,6.868869272,49.6035425,95.7,4.533333333,0.25,4.2,65.13333333,47.46666667,3.426666667,0.973333333,4
"193","PGM",147,8,"147_8","LF",28,60,19,17,64,72,126.4020745,9.862605933,11.89223738,66.9,4.733333333,0.19,1.4,38.4,26.8,1.873333333,0.826666667,7
"194","PGM",152,1,"152_1","SFold",18,45,4,7,21,11,37.32723572,10.76443705,2.013668443,75.87,4.111111111,0.14,6.111111111,30.11111111,24,0.733333333,1.666666667,6
"195","PGM",152,10,"152_10","PA",19,38,8,0,0,1,0.950552749,1.201193636,0.971525435,35,4.955555556,0.07,5.777777778,41.66666667,27.33333333,1.5,0.711111111,6
"196","PGM",152,11,"152_11","PA",12,45,11,0,1,2,0.287158777,1.005472707,1.885023884,35.13,4.9,0.09,3.444444444,128.1111111,88.11111111,3.744444444,3,8
"197","PGM",152,12,"152_12","PA",11,35,5,0,0,0,0,0.187264588,1.050143599,44.1,5.188888889,0.09,4.555555556,36.77777778,34.33333333,1.111111111,0.822222222,3
"198","PGM",152,2,"152_2","SFyoung",24,37,10,8,28,18,34.36265568,8.405241831,2.050289177,59.04,4.455555556,0.11,8.222222222,53.66666667,34.11111111,0.933333333,1.166666667,11
