"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"290","PGM",369,12,"369_12","PA",19,26,10,0,0,0,0,1.615408889,0.218863542,48.07,4.788888889,0.1,3.333333333,38.77777778,35.55555556,1.366666667,0.633333333,6
"291","PGM",369,13,"369_13","PA",19,27,14,0,1,0,0.010122599,2.20204411,0.441789459,50.35,5.111111111,0.12,3.333333333,57.22222222,52.11111111,2.155555556,0.666666667,4
"292","PGM",369,3,"369_3","LF",25,36,25,27,50,50,74.73253189,8.028595155,5.786574568,52.27,4.233333333,0.13,1.333333333,32.11111111,23.55555556,0.744444444,1.777777778,6
"293","PGM",369,4,"369_4","LF",18,65,22,5,55,40,104.0889993,11.25318668,21.73693753,57.88,4.666666667,0.13,1,22.88888889,20.44444444,0.666666667,1.1,8
"294","PGM",369,5,"369_5","LBF",23,45,21,21,51,51,118.0590064,9.356313129,40.36751587,70.36,4.688888889,0.18,2,45.11111111,26.11111111,3.211111111,0.622222222,3
"295","PGM",369,6,"369_6","LBF",21,49,18,20,37,34,58.04370371,8.226379911,21.80483076,65.36,4.777777778,0.17,3.444444444,41.77777778,31.44444444,3.622222222,0.577777778,2
"296","PGM",369,7,"369_7","LF",29,45,20,11,82,64,109.5061171,9.596202004,31.75858672,51.51,4.644444444,0.16,3,47.11111111,46.11111111,2.411111111,0.933333333,9
"297","PGM",369,8,"369_8","LF",29,45,19,12,67,58,98.51117026,7.426809558,30.39662488,59.63,4.522222222,0.15,3.222222222,34.77777778,28.66666667,2.155555556,1.055555556,5
"298","PGM",423,1,"423_1","LBF",39,32,10,3,38,21,55.11195132,9.40345785,18.84182391,30.47,4.711111111,0.06,4.444444444,35.11111111,39.11111111,1.388888889,0.733333333,4
"299","PGM",423,10,"423_10","MA",23,18,4,0,0,0,0,0,0,69.89,5.111111111,0.16,3.222222222,64.88888889,46.88888889,4.377777778,0.322222222,2
"300","PGM",423,11,"423_11","MA",12,6,3,0,0,0,0,2.1138,0,62.77,4.866666667,0.15,4.555555556,79.22222222,51.11111111,3.1,0.388888889,4
"301","PGM",423,12,"423_12","MA",14,8,10,0,0,0,0,0,0,55.64,4.933333333,0.14,3.444444444,46.66666667,29.44444444,3.088888889,0.511111111,2
"302","PGM",423,13,"423_13","REF",25,9,4,0,0,1,49.33637753,8.10992,0,27.49,4.644444444,0.05,4.777777778,22.66666667,12.55555556,0.744444444,0.6,1
"303","PGM",423,5,"423_5","LBF",37,40,10,3,38,33,98.63800975,10.58607451,23.71049267,89.81,4.511111111,0.19,3.888888889,82.33333333,66.11111111,2.877777778,0.988888889,3
"304","PGM",423,6,"423_6","LBF",32,46,19,7,42,37,83.19702074,9.302183014,33.91019111,26.75,4.622222222,0.05,2.555555556,24.55555556,16.88888889,1.255555556,0.533333333,6
"305","PGM",423,7,"423_7","LF",21,64,8,13,59,59,221.1138381,9.255832746,28.27804562,63.86,4.611111111,0.16,2.111111111,43,30.66666667,2.311111111,0.833333333,2
"306","PGM",423,8,"423_8","REF",26,14,8,0,1,1,41.67725815,7.191252667,0,17.4,4.244444444,0.04,5.555555556,15.11111111,14.66666667,0.566666667,0.722222222,4
"307","PGM",423,9,"423_9","LBF",28,51,5,3,33,21,44.46567348,9.335410889,18.40126168,34.36,4.455555556,0.07,3.777777778,24.88888889,31,1.444444444,0.811111111,3
"308","PGM",443,1,"443_1","LBF",21,56,10,11,34,52,59.04195154,12.43726642,82.62974376,27.63,5.113333333,0.05,4.933333333,28.73333333,20.66666667,2.353333333,0.313333333,6
"309","PGM",443,2,"443_2","LF",18,56,12,13,51,62,133.062027,7.507878752,30.46461519,34.13,4.406666667,0.07,4.066666667,30,22,1.28,0.726666667,7
"310","PGM",443,3,"443_3","PA",26,36,2,0,0,0,0,2.5098,0,27.6,4.833333333,0.05,5.533333333,22.86666667,13.66666667,1.746666667,0.326666667,2
"311","PGM",443,4,"443_4","LF",28,42,4,17,61,56,125.4631246,9.253017975,21.01041984,28.23,4.626666667,0.05,3,20.93333333,21.8,0.76,0.72,11
"312","PGM",443,5,"443_5","PA",23,29,5,0,0,0,0,4.783015967,0.188377094,39.94,5.586666667,0.06,5.4,58,33.53333333,3.326666667,0.146666667,1
"313","PGM",443,6,"443_6","PA",27,23,2,0,0,0,0,2.7166014,0.088979916,23.66,4.746666667,0.04,3.8,24.86666667,12.6,1.36,0.42,2
"314","PGM",443,7,"443_7","PA",25,32,1,0,2,0,0.013874221,3.28179417,0.170059314,39.56,4.726666667,0.06,4.333333333,40.26666667,23.86666667,1.453333333,0.566666667,13
"315","PGM",443,8,"443_8","PA",25,38,5,0,0,0,0,2.2954,0,31.2,5.453333333,0.05,7.066666667,35.26666667,24.4,2.386666667,0.253333333,4
"316","PGM",443,9,"443_9","PA",25,20,4,0,0,0,0,1.30456,0,29.3,4.793333333,0.05,5.866666667,23.4,18.66666667,1.446666667,0.453333333,5
"317","PGM",547,1,"547_1","LF",28,56,10,7,77,58,192.2415626,9.552182439,53.5202427,78.7,4.655555556,0.12,3.444444444,37.33333333,32.66666667,0.6,1.422222222,11
"318","PGM",547,11,"547_11","PA",21,33,5,1,5,0,1.280037763,2.468516809,7.117760695,57.49,4.877777778,0.1,2.555555556,26.55555556,18,1.288888889,0.533333333,3
"319","PGM",547,12,"547_12","PA",16,43,5,0,3,1,0.212602798,1.847848632,6.508065731,30.09,4.9125,0.05,3.125,23.875,17.625,1.55,0.3375,5
"320","PGM",547,13,"547_13","PA",20,30,3,0,6,0,0.208482332,4.20627584,8.846929923,76.4,5.177777778,0.15,2.777777778,69.88888889,72.66666667,3.188888889,0.466666667,6
"321","PGM",547,14,"547_14","PA",17,20,4,0,0,0,0,4.803477115,2.809076967,120.5,5.333333333,0.24,2.222222222,77.44444444,48.11111111,4.555555556,0.3,3
"322","PGM",547,2,"547_2","LF",33,49,8,18,78,63,80.4687845,9.225870319,35.9859113,51.9,4.6,0.14,1.444444444,60.66666667,40.66666667,2.166666667,0.8,7
"323","PGM",547,5,"547_5","LF",29,64,3,15,59,46,131.2747654,10.30818706,41.45019503,66.8,4.455555556,0.14,1.444444444,30.66666667,22,1.533333333,1.044444444,12
"324","PGM",547,6,"547_6","PA",23,23,7,0,1,0,0.013303097,2.007777103,0.940862657,56.72,4.444444444,0.11,1.555555556,35.33333333,18.55555556,0.966666667,0.933333333,2
"325","PGM",547,7,"547_7","PA",26,30,5,0,1,0,0.131984814,1.935713409,11.37421319,32.36,4.355555556,0.06,1.555555556,18.44444444,10.44444444,0.966666667,0.677777778,4
"326","PGM",547,8,"547_8","REF",17,25,4,0,1,0,1.790890936,1.895831,0.053861762,24.34,4.811111111,0.04,3,22.33333333,11.22222222,0.866666667,0.333333333,NA
"327","PGM",547,9,"547_9","PA",18,29,1,0,0,0,0,5.702692063,4.392413265,42.8,4.955555556,0.08,3.111111111,49.77777778,29.11111111,1.911111111,0.466666667,6
"328","PGM",549,1,"549_1","UF",29,65,22,23,67,60,180.194592,12.04022113,27.66504966,34.2,4.322222222,0.06,2.444444444,18.22222222,15.55555556,0.411111111,1.088888889,7
"329","PGM",549,10,"549_10","UF",37,54,22,17,54,66,197.3451602,7.509818001,10.43293582,38.54,4.1,0.06,4.466666667,29,33.6,0.866666667,1.04,NA
"330","PGM",549,11,"549_11","LF",35,44,11,31,99,82,171.376247,11.57065395,26.2028435,102.02,4.688888889,0.19,2.333333333,46.44444444,28.55555556,2.655555556,1.222222222,4
"331","PGM",549,12,"549_12","UF",26,54,27,16,72,73,232.3566711,7.770887103,19.69408792,39.04,4.211111111,0.07,2.222222222,23.88888889,20.88888889,0.422222222,1.277777778,9
"332","PGM",549,2,"549_2","UF",23,53,17,16,46,68,157.2858988,4.8729974,12.13506406,39.12,4.744444444,0.06,1.888888889,19.55555556,20.77777778,0.366666667,0.877777778,6
"333","PGM",549,3,"549_3","UF",29,58,17,21,71,66,165.7410863,7.492249571,25.63407251,39.65,4.477777778,0.07,2,20.33333333,26.77777778,0.411111111,1.111111111,7
"334","PGM",549,4,"549_4","LF",33,63,16,11,66,64,203.2735644,10.81441621,13.72356917,70.32,4.566666667,0.15,1.444444444,33.22222222,42.66666667,0.688888889,1.588888889,11
"335","PGM",549,5,"549_5","UF",28,55,19,8,62,69,151.5793226,7.972556758,43.18286467,38.35,4.48,0.06,2.4,23.26666667,25.6,0.74,0.933333333,12
"336","PGM",549,6,"549_6","UF",25,46,19,10,56,68,269.1563271,8.798651311,16.94797798,66.64,4.444444444,0.13,2.444444444,34.55555556,30.33333333,0.477777778,1.555555556,8
"337","PGM",549,7,"549_7","UF",26,45,20,13,57,64,315.8216594,6.454561399,26.84716481,34.65,4.04,0.06,3.2,23.46666667,20.73333333,0.82,1.126666667,6
"338","PGM",549,8,"549_8","UF",34,30,25,17,42,62,163.0171479,7.633699462,18.53670632,44.19,3.973333333,0.07,4.266666667,24,24.66666667,0.773333333,1.373333333,8
"339","PGM",549,9,"549_9","LF",30,45,16,15,80,54,113.7560871,8.422679363,51.83807392,58.42,4.52,0.15,2.6,28.53333333,27.93333333,1.7,0.946666667,13
