"","PA","MA","variable","p_value","R2m","R2c","AIC"
"1",0.552854693488491,-0.5988820787622,"Aboveground_pool",0.263801600794449,0.0185324044077103,0.0526853139189765,411.46937451038
"2",1.5145413293692,-0.575366562866021,"Litter_pool",0.107324265865701,0.0213404945984554,0.189408498630259,371.78493968076
"3",1.57810068435753,-1.55153575347063,"Dead_pool",0.00504162842611362,0.0738279431940873,0.0854212064705894,458.143506439725
"4",47.8252777777778,4.72552222222224,"Soil_pool_new",0.187877778907981,0.017537953356795,0.017537953356795,813.602103754268
"5",5.04538078935136,-0.147493824835194,"pH",0.0955464981027135,0.0238037548611142,0.147287811536294,101.381574540039
"6",0.114017749213232,0.0260031896840556,"Nperc",0.00412280633149491,0.0688036773207411,0.233757318581932,-347.934122069351
"7",4.54225817255323,1.01806807030498,"P",0.0594234924590708,0.0323063156099389,0.0442357900668201,454.419356628492
"8",42.0418856808536,14.367253703327,"K",0.0117960159896625,0.0637240422174582,0.1995043937801,888.325920634668
"9",24.4406359599302,4.38356309878545,"Na",0.198397908160081,0.0132732482675986,0.338854795360341,793.642588544999
"10",2.40617283951389,0.580138271606111,"CaMg",0.0267667656604387,0.0488289074239088,0.0488289074239088,304.230200818221
"11",0.591693745468931,-0.00254677727019063,"Al",0.961388435982132,7.95608111674968e-06,0.180278649663163,87.2237499686009
