"","UF","LF","variable","p_value","R2m","R2c","AIC"
"1",195.946994285015,-55.2061865813666,"Aboveground_pool",1.84576008690754e-06,0.221533014408819,0.227850210406917,932.522702133379
"2",7.42178245969805,0.468665105698937,"Litter_pool",0.294380332073422,0.00605005530530991,0.503755672905579,371.64101197061
"3",20.9384434339395,6.59270785196681,"Dead_pool",0.0420838210394343,0.0382622179258116,0.171566106490751,720.256520896115
"4",48.1860528824124,12.4081726589996,"Soil_pool_new",0.00682922753496921,0.0760995017962343,0.0812581125518988,777.278681977813
"5",4.08778862171492,0.135004076756638,"pH",0.00871807900286434,0.0143501491843684,0.825238740367829,-16.6191145254688
"6",0.110948809186819,0.0477342796729001,"Nperc",8.29148670579226e-05,0.146866870353004,0.288197042483585,-289.780937244246
"7",3.01612930357912,0.760846790583145,"P",0.0447316913282478,0.0456299719492367,0.133637870320685,323.430185843024
"8",25.7440256037172,8.98616224968922,"K",0.00107928701356586,0.0883850675248658,0.308925231621823,685.983658366141
"9",20.1335908573538,4.74207575739748,"Na",0.0175891787085464,0.0286949449827724,0.565717828195812,633.591964847913
"10",0.73537352019075,0.505976852544015,"CaMg",0.0022390121936268,0.0767616999396496,0.30733163261561,186.719222684416
"11",1.55629139793456,0.0955477438481712,"Al",0.40369852323527,0.00253469802061268,0.700605144942323,122.693737821787
