"","SFold","MA","variable","family","p_value","R2m","R2c","AIC"
"1",3.14931133610582,-0.538111018055133,"ant_rich","Negative Binomial",6.40181379242639e-05,0.261793776468347,0.261793776468347,360.923119118702
"2",3.68487142546218,-1.25599256664193,"bird_rich","Negative Binomial",2.41705880977544e-16,0.751985817537568,0.751985817537568,361.461440514437
"3",2.84526234286576,-0.870105597959696,"db_rich","Negative Binomial",2.14609106445009e-11,0.560769373897969,0.624001195342645,301.499204882735
"4",2.19277022369774,-18.9132421839026,"liana_rich","Poisson",7.55387727817047e-70,0.996895140624572,0.996895140624572,150.045801918317
"5",3.79964794138483,-20.5126162481126,"sap_rich","Poisson",0,0.999426127620316,0.999531055128027,200.540690809999
"6",3.67882911137718,-27.7199336869203,"tree_rich","Negative Binomial",2.50954477530509e-300,0.999259978313976,0.999259978313976,204.414186826941
