"Chisq","Df","Pr(>Chisq)","disp_param","hetero_param","variable","explanatory"
100.336823605549,6,2.13439753284885e-19,0.752,0.832942871891077,"ant_rich","LU_UF"
0.172814879904053,1,0.677622156152534,0.752,0.832942871891077,"ant_rich","CLAY_ALL"
0.00424859391680737,1,0.948029698473331,0.752,0.832942871891077,"ant_rich","ELEV_MEAN"
0.256351392525339,1,0.612637951312661,0.752,0.832942871891077,"ant_rich","SLOPE_MEAN"
406.522695971242,6,1.10680467828718e-84,0.672,0.065007639164168,"bird_rich","LU_UF"
0.0289738657830528,1,0.864839393362678,0.672,0.065007639164168,"bird_rich","CLAY_ALL"
4.52797354072125,1,0.033345080759385,0.672,0.065007639164168,"bird_rich","ELEV_MEAN"
1.43659244481127,1,0.230691553841738,0.672,0.065007639164168,"bird_rich","SLOPE_MEAN"
284.998640247854,6,1.3366643843234e-58,0.912,0.000186257085069256,"db_rich","LU_UF"
0.0114856131307996,1,0.914653358966663,0.912,0.000186257085069256,"db_rich","CLAY_ALL"
0.518981731489313,1,0.471276369827614,0.912,0.000186257085069256,"db_rich","ELEV_MEAN"
0.616124095482359,1,0.432491253567119,0.912,0.000186257085069256,"db_rich","SLOPE_MEAN"
444.336158933529,6,8.12590814699987e-93,0.648,4.46596843687318e-33,"liana_rich","LU_UF"
1.69970112127219,1,0.192327068567153,0.648,4.46596843687318e-33,"liana_rich","CLAY_ALL"
0.0972267128197704,1,0.755183416562042,0.648,4.46596843687318e-33,"liana_rich","ELEV_MEAN"
0.481448599011495,1,0.487766892487523,0.648,4.46596843687318e-33,"liana_rich","SLOPE_MEAN"
1364.92683423219,6,9.51273342915909e-292,0.688,3.74988536331429e-25,"sap_rich","LU_UF"
3.53600419120464,1,0.0600499613873467,0.688,3.74988536331429e-25,"sap_rich","CLAY_ALL"
0.420982544773719,1,0.51644718028946,0.688,3.74988536331429e-25,"sap_rich","ELEV_MEAN"
0.712497015480233,1,0.398616107540371,0.688,3.74988536331429e-25,"sap_rich","SLOPE_MEAN"
1617.51914711235,6,0,0.704,4.6566246510193e-26,"tree_rich","LU_UF"
3.3294263047069,1,0.0680506073627743,0.704,4.6566246510193e-26,"tree_rich","CLAY_ALL"
0.462132438231247,1,0.496629058088376,0.704,4.6566246510193e-26,"tree_rich","ELEV_MEAN"
1.55734187041247,1,0.212054846346583,0.704,4.6566246510193e-26,"tree_rich","SLOPE_MEAN"
43.7273697252185,6,8.37172131794516e-08,0.288,0.185288460666381,"bee_rich","LU_UF"
2.51365612215769,1,0.112863812149173,0.288,0.185288460666381,"bee_rich","CLAY_ALL"
2.44447931458897,1,0.11793901440569,0.288,0.185288460666381,"bee_rich","ELEV_MEAN"
2.9037068613979,1,0.0883761064942191,0.288,0.185288460666381,"bee_rich","SLOPE_MEAN"
