"","SFold","PA","variable","p_value","R2m","R2c","AIC"
"1",70.8267758152001,-70.3459454560751,"Aboveground_pool",7.50456884967732e-38,0.838090952884086,0.838090952884086,787.519563442669
"2",7.34698760766349,-6.11057251783121,"Litter_pool",1.3894115485441e-22,0.531074545225829,0.765493363440523,401.097620312121
"3",10.73425993004,-9.11459004827612,"Dead_pool",8.34589356388676e-06,0.18404790588122,0.18404790588122,694.996503453208
"4",58.1680000000001,-10.3427222222223,"Soil_pool_new",0.00587384944868779,0.0745256236102378,0.0745256236102378,819.429774029285
"5",4.30500243605487,0.732054482602924,"pH",5.41204306994404e-11,0.351705728716296,0.461732771034053,106.959280734373
"6",0.154641950184076,-0.0395283090911528,"Nperc",9.44744471218706e-05,0.130240580388765,0.338063853233011,-342.066440207571
"7",3.85777777768,0.64334104947278,"P",0.240257352911558,0.013971769426522,0.013971769426522,449.157099117492
"8",35.5025848966246,6.84447306116181,"K",0.15055203608312,0.0181152447883117,0.147881932032078,872.340364662322
"9",22.5620491089918,2.20886526435915,"Na",0.434450026706429,0.00412924873067797,0.303559456900587,778.743690908053
"10",1.50968888892,0.89648395059389,"CaMg",0.00108563290525321,0.103722712987862,0.103722712987862,309.815955577557
"11",1.54422490317926,-0.956801362407516,"Al",1.29221485049879e-13,0.441246799496266,0.503173178361248,128.229734070903
