"","LBF","MA","variable","p_value","R2m","R2c","AIC"
"1",109.903381105941,-113.77330612479,"Aboveground_pool",8.68739906371387e-18,0.518737580555113,0.63603215772521,955.098105172426
"2",7.58361369295438,-6.45073091952261,"Litter_pool",1.93564619145478e-24,0.514759475027226,0.774589662686399,386.595457938613
"3",24.7455689591742,-24.5253959439109,"Dead_pool",2.15444112051878e-12,0.416601034159083,0.429264257031064,732.551812850574
"4",56.6223872981496,-3.48437860740982,"Soil_pool_new",0.387548959964977,0.00620495986225742,0.0659212922769318,796.084883555494
"5",4.44560216434465,0.491857758319951,"pH",1.61658646793346e-07,0.138759486942937,0.638866225598051,84.0851036229772
"6",0.146153846153846,-0.00375384615384633,"Nperc",0.727730008943587,0.00133072678620736,0.00133072678620792,-291.612606822428
"7",3.86507866708636,1.56183826826081,"P",0.000107350737133547,0.111559212872076,0.400239182897107,355.297678777961
"8",35.8777583210445,21.2110298456935,"K",2.56993863849266e-06,0.157388488507166,0.481589437583406,781.266639770157
"9",23.7218324885185,5.63773826563071,"Na",0.0439116721226345,0.020805716412145,0.585526851232116,706.256538489905
"10",1.80048755935085,1.29474580649751,"CaMg",7.14923793652673e-06,0.154639429570616,0.43724558040157,286.49958728142
"11",1.32811145688291,-0.807410816366976,"Al",1.30364572058024e-09,0.166091564461978,0.694684208400993,142.448395341798
