"","UF","PA","variable","p_value","R2m","R2c","AIC"
"1",196.150170247619,-195.669339888494,"Aboveground_pool",8.35791447254752e-52,0.914539739538526,0.914539739538526,869.684107321638
"2",7.33738026382696,-5.89559450513018,"Litter_pool",3.13558497088749e-25,0.638210651007982,0.739531946807132,360.835549002908
"3",20.5022241981189,-19.0319464465073,"Dead_pool",9.10095635799338e-30,0.747756325467066,0.755004641108586,554.167465275595
"4",48.0158856736074,0.0858107255144142,"Soil_pool_new",0.939265125363958,5.01800182799779e-06,0.0128646537520113,786.147930004168
"5",4.06645266879233,0.957518054019579,"pH",1.03551948086359e-16,0.453820274554342,0.599668176016007,94.3175422748554
"6",0.109787751838496,0.0076932087919817,"Nperc",0.492468751583327,0.00387600999528999,0.360763154934323,-315.661565969116
"7",3.05714285704762,1.44397597010516,"P",0.0125714496054697,0.0641200754533327,0.0641200754533327,426.357527960553
"8",25.5507474259459,17.6956785786496,"K",0.000812054489525569,0.106994246439417,0.150834633409426,837.794133448248
"9",19.9634809798472,5.07377697646495,"Na",0.107508222251535,0.0205330083169088,0.257808322355868,749.533226726339
"10",0.698835978809526,1.70733686070436,"CaMg",4.66704945719974e-09,0.306296036457155,0.306296036457155,284.237930398244
"11",1.59768482781818,-0.979557638395568,"Al",8.98482064029934e-15,0.399913514514939,0.573789333920147,116.350227285268
