"","LF","MA","variable","family","p_value","R2m","R2c","AIC"
"1",3.20166983703443,-0.590469537056103,"ant_rich","Negative Binomial",3.29582716604325e-08,0.300213183216431,0.300213183216431,669.106359605817
"2",3.9079485982922,-1.47308990940424,"bird_rich","Negative Binomial",5.05319338363401e-34,0.848422109437223,0.853128608494961,706.463044789303
"3",2.99101979185799,-1.00972387394471,"db_rich","Negative Binomial",2.79974869747216e-15,0.529955582027067,0.569787756837812,610.752629788144
"4",2.61761562996638,-14.4967116678592,"liana_rich","Negative Binomial",1.85994522293592e-130,0.995342668366888,0.995531975433538,425.80824674951
"5",4.15617944243629,-17.0296348090171,"sap_rich","Negative Binomial",0,0.999149929538429,0.999185100553166,549.844322712871
"6",4.14121281846819,-21.0811106657934,"tree_rich","Poisson",0,0.999675031465127,0.999746723822054,513.061387500934
