"","LF","LBF","variable","p_value","R2m","R2c","AIC"
"1",144.669890147697,-34.9139031492381,"Aboveground_pool",1.70872103192961e-05,0.104850183293503,0.296447111928838,1403.68171506446
"2",7.74597612396061,-0.270379857856257,"Litter_pool",0.392396513395583,0.00184389210118684,0.666721848876723,552.623262963769
"3",27.5676030265187,-3.51639529129294,"Dead_pool",0.170595463840501,0.0126737269465034,0.115582649373984,1102.99166066577
"4",59.7872070134815,-3.32219721739765,"Soil_pool_new",0.360446507188017,0.00595223951924585,0.069926489943202,1194.19619118365
"5",4.20636163078864,0.217946147020575,"pH",7.41885828612727e-06,0.0335096840504114,0.794556115827178,46.4692044841344
"6",0.156131416008765,-0.00889057029652218,"Nperc",0.292672594154548,0.0079696659734366,0.0278677485576739,-416.095957957338
"7",3.82723847111851,-0.0510201480252541,"P",0.844974699917097,0.000228899181846418,0.171669199948291,503.214552126452
"8",33.7778559713216,2.62115962533437,"K",0.289265721593152,0.00525116680429885,0.378085646063793,1098.26130619994
"9",24.4285730427782,-0.283112706378519,"Na",0.874440929104229,8.79716045068278e-05,0.541208306404687,1011.00156054865
"10",1.15643069487994,0.634714948001161,"CaMg",0.000187446333996312,0.0597231077248147,0.459831619096804,379.332848402164
"11",1.67058885732933,-0.315715188433159,"Al",0.000130891557758266,0.0297635921022047,0.74407914667962,189.469978203179
