"Chisq","Df","Pr(>Chisq)","disp_param","hetero_param","variable","explanatory"
100.336792260449,6,2.13442967753735e-19,0.768,0.638033813114437,"ant_rich","LU_UF"
0.172815513257637,1,0.677621598660084,0.768,0.638033813114437,"ant_rich","CLAY_ALL"
0.00424828453332299,1,0.948031588073636,0.768,0.638033813114437,"ant_rich","ELEV_MEAN"
0.256350880092111,1,0.612638306505158,0.768,0.638033813114437,"ant_rich","SLOPE_MEAN"
406.522695971749,6,1.1068046780095e-84,0.688,0.0744463288166744,"bird_rich","LU_UF"
0.0289738657766302,1,0.864839393377514,0.688,0.0744463288166744,"bird_rich","CLAY_ALL"
4.52797354070771,1,0.033345080759649,0.688,0.0744463288166744,"bird_rich","ELEV_MEAN"
1.43659244479408,1,0.230691553844528,0.688,0.0744463288166744,"bird_rich","SLOPE_MEAN"
284.998640240641,6,1.33666438907646e-58,0.896,0.000164642228771906,"db_rich","LU_UF"
0.0114856132263014,1,0.914653358613195,0.896,0.000164642228771906,"db_rich","CLAY_ALL"
0.518981731833994,1,0.471276369680364,0.896,0.000164642228771906,"db_rich","ELEV_MEAN"
0.616124095201021,1,0.432491253672198,0.896,0.000164642228771906,"db_rich","SLOPE_MEAN"
444.336158939396,6,8.12590812337757e-93,0.696,6.05599193281513e-33,"liana_rich","LU_UF"
1.69970112146097,1,0.19232706854246,0.696,6.05599193281513e-33,"liana_rich","CLAY_ALL"
0.0972267128377318,1,0.755183416540152,0.696,6.05599193281513e-33,"liana_rich","ELEV_MEAN"
0.481448599025275,1,0.487766892481296,0.696,6.05599193281513e-33,"liana_rich","SLOPE_MEAN"
1364.92683415151,6,9.5127338117825e-292,0.736,2.59844462980282e-27,"sap_rich","LU_UF"
3.53600418990138,1,0.0600499614345369,0.736,2.59844462980282e-27,"sap_rich","CLAY_ALL"
0.420982544955997,1,0.516447180198657,0.736,2.59844462980282e-27,"sap_rich","ELEV_MEAN"
0.712497015514767,1,0.398616107528941,0.736,2.59844462980282e-27,"sap_rich","SLOPE_MEAN"
1617.51914706928,6,0,0.704,5.09382257865182e-26,"tree_rich","LU_UF"
3.32942630628345,1,0.068050607297543,0.704,5.09382257865182e-26,"tree_rich","CLAY_ALL"
0.462132438543727,1,0.496629057942831,0.704,5.09382257865182e-26,"tree_rich","ELEV_MEAN"
1.55734187096206,1,0.212054846265937,0.704,5.09382257865182e-26,"tree_rich","SLOPE_MEAN"
43.7273697253053,6,8.37172131761341e-08,0.312,0.181646756843522,"bee_rich","LU_UF"
2.51365612218143,1,0.112863812147473,0.312,0.181646756843522,"bee_rich","CLAY_ALL"
2.44447931457708,1,0.117939014406584,0.312,0.181646756843522,"bee_rich","ELEV_MEAN"
2.90370686135402,1,0.0883761064966247,0.312,0.181646756843522,"bee_rich","SLOPE_MEAN"
