"","PA","SFyoung","variable","p_value","R2m","R2c","AIC"
"1",0.480830359125,29.1564756656629,"Aboveground_pool",2.55875370593623e-21,0.5726903061562,0.5726903061562,821.328545478932
"2",1.33274290156781,5.19709937981839,"Litter_pool",6.10628990763046e-23,0.517380311116756,0.692564921911874,441.702574142932
"3",1.61966988176389,6.63940884084217,"Dead_pool",0.000138930115475558,0.128039347046354,0.128039347046354,742.781671334593
"4",47.8252777777778,5.24078282828283,"Soil_pool_new",0.143385876262899,0.0199960260314906,0.0199960260314906,900.335461931512
"5",5.0415950404294,-0.474164745012971,"pH",8.87952471870641e-08,0.214540133839418,0.328390082382615,111.097811686359
"6",0.115309853139445,0.0117683190305804,"Nperc",0.186616613115391,0.0124934674007302,0.22611572681297,-350.766670424286
"7",4.44895359166755,-0.214524788619988,"P",0.596109186788929,0.00154422446086222,0.0167257145343655,499.220941410802
"8",42.6804277712661,-9.53712637114307,"K",0.0249671949992932,0.0413714834078814,0.13563944370785,939.927266568841
"9",24.9447035817337,-5.06711730417197,"Na",0.050981976595927,0.0260826475914495,0.292692546061121,836.764123736906
"10",2.40617283951389,-0.628453984362374,"CaMg",0.00887983108341393,0.0625583839939661,0.0625583839939661,330.51142840791
"11",0.584426119765566,0.447828881911169,"Al",2.51911693095195e-07,0.205214623689542,0.299717329207222,107.747402730114
