"","SFyoung","SFold","variable","p_value","R2m","R2c","AIC"
"1",29.6373060247879,41.1894697904121,"Aboveground_pool",7.74006833908125e-09,0.432841637988464,0.432841637988464,537.035792111179
"2",6.62165512527074,1.17124488791664,"Litter_pool",0.0499465686336929,0.0266109013081867,0.655820910715153,264.375771995381
"3",8.25907872260606,2.47518120743394,"Dead_pool",0.523194905931676,0.00688078076478297,0.00688078076478297,483.566398234416
"4",53.4195383852705,7.08141495751307,"Soil_pool_new",0.107576290806732,0.0483099269489886,0.191985752558155,483.669264028821
"5",4.56249127436351,-0.297626641124414,"pH",0.00129032979643465,0.151375022499702,0.211048470658166,47.0439039139297
"6",0.127529283949934,0.0297639901196356,"Nperc",0.00506198289991161,0.109184264251958,0.243539210837862,-202.193597229752
"7",4.29526155163275,0.0506869118234034,"P",0.99693582860917,0.000112701835198672,0.260040291676593,258.294909332524
"8",33.1960167745789,2.10058282644179,"K",0.495649659361333,0.00704407504102921,0.34278230993706,444.287963674059
"9",19.9459677502072,2.77864162432603,"Na",0.0589935757564866,0.0190714011074268,0.731459995455528,370.248679653975
"10",1.77771885515151,-0.268029966231513,"CaMg",0.27444734843548,0.0200317969614318,0.0200317969614318,162.950546108706
"11",1.03875850367365,0.553369842972417,"Al",4.91730601851754e-05,0.242627136097751,0.253815352309719,86.9476753055086
