"","UF","LF","LBF","PA","MA","SFy","SFo"
"ant_rich",24.4761904761905,24.5735294117647,26.8307692307692,19.5555555555556,13.6153846153846,23.9032258064516,23.32
"bird_rich",51.2380952380952,50.3529411764706,47.1230769230769,27.9583333333333,11.3461538461538,38.6666666666667,39.84
"db_rich",24.5714285714286,19.4852941176471,17.7538461538462,7.65277777777778,7.5,15.030303030303,18.76
"liana_rich",13.5714285714286,14.0294117647059,11.0153846153846,0.0416666666666667,0,6.03030303030303,8.96
"sap_rich",57.8095238095238,64.5147058823529,53.6307692307692,0.958333333333333,0,30.6060606060606,47.48
"tree_rich",65,61.7941176470588,48.4923076923077,0.194444444444444,0,17.8787878787879,39.6
"Aboveground_pool",196.150170247619,140.364334596471,105.001476082062,0.480830359125,0,29.6373060247879,70.8267758152
"Litter_pool",7.24057472133333,8.22621484530882,8.00591116181539,1.68648865777778,0.8439424,6.44078740569697,6.599173064
"Dead_pool",20.4431240147619,28.4489490332059,25.0244547785077,1.61966988176389,0,8.25907872260606,10.73425993004
"Soil_pool_new",48.1252380952381,60.7069117647059,57.4806153846154,47.8252777777778,52.5508,53.0660606060606,58.168
"pH",4.04412698404762,4.30369514473529,4.53179059833846,5.08040509258333,4.87848888888,4.55765993263636,4.23297777784
"Nperc",0.112857142857143,0.155147058823529,0.146153846153846,0.109722222222222,0.1424,0.128484848484848,0.1636
"P",3.05714285704762,3.70098039214706,3.63679487178462,4.50111882715278,5.58311111108,4.22129629621212,3.85777777768
"K",25.1534391542857,35.8245098038235,38.6590811963077,44.250733024625,55.1857777784,32.7479797978788,32.3395555548
"Na",19.257142857619,26.4996732025,26.4325213674769,26.8227237652778,27.5048888896,19.4047979796061,19.15288888856
"CaMg",0.698835978809524,1.30905228764706,1.95968162395385,2.40617283951389,2.98631111112,1.77771885515152,1.50968888892
"Al",1.62433862438095,1.52575163395588,1.19493376069231,0.550752314777778,0.61182222212,1.04073232321212,1.6051555556
"bee_rich",7.875,6.76190476190476,6.52380952380952,4.29166666666667,2.6,9.46666666666667,5.8
